Title,Author,Reply_author,reply_author_id,reply_content,reply_pubtime,comment_like
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Wollstonecraft,154742699,支持！,2020-10-09 08:46:52,7
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,树懒,xtopia,dd支持,2020-10-09 09:16:52,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,小小脑袋,149862817,dd支持,2020-10-09 09:22:28,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,沐沫沫,197316067,加入啦！,2020-10-09 09:24:35,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,かん,183851723,dd,2020-10-09 09:29:19,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,veni vidi vici,woodsman,[内容不可见],2020-10-09 09:40:33,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,🥥,lcoloroo,支持！,2020-10-09 09:56:16,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,直言陈述,188071881,支持！！,2020-10-09 10:19:25,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Jäger,154138761,dd,2020-10-09 10:22:34,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Revontulet,135813021,dd！,2020-10-09 10:33:22,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,進口輪椅,191599082,dd！！,2020-10-09 10:34:49,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,R0G47B167,199201912,支持！,2020-10-09 10:38:58,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Calypso,181662674,dd,2020-10-09 10:47:49,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,momo,134443157,支持！,2020-10-09 11:09:05,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,长岛冰茶,219816922,dd,2020-10-09 11:12:00,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,moko,198789397,dddddddd,2020-10-09 11:12:15,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,无弈,144803662,支持！虽然还不会用hhh,2020-10-09 11:21:03,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,莓果侠客,179483691,dd,2020-10-09 11:48:12,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,避光收藏,moonliar,dd,2020-10-09 12:24:15,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,momo,179647129,加入啦,2020-10-09 12:53:20,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,momo,139449892,不错子 嘿嘿,2020-10-09 12:54:36,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,草莓喵大王🍓,114701608,火速赶来,2020-10-09 13:14:41,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,小肥阳,207291015,超棒der！！！,2020-10-09 13:34:16,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Lisa?,132101056,啊啊啊啊啊啊！太棒啦！,2020-10-09 13:46:36,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,步秋,189146419,"Dd, 虽然不熟悉这个平台，但是看起来很厉害的样子！",2020-10-09 13:49:53,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,君惜凉,147869325,支持,2020-10-09 13:53:49,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,🦕,179916859,dd,2020-10-09 13:58:24,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,ㅇㅁㅇ,147522474,dd,2020-10-09 14:09:45,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,尚妗🍶,adela5206,支持！,2020-10-09 14:14:53,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,cest la vie,216567573,感谢组长！,2020-10-09 14:25:41,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,溺毙鱼缸,140701278,[内容不可见],2020-10-09 14:36:37,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,济州岛天然芝士,Fayerunaway,支持,2020-10-09 16:06:11,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,evolmiss,evolmiss,支持！,2020-10-09 16:35:09,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Leertraum,169238332,超级棒！,2020-10-09 17:10:26,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,跑调大王杨女士,133169249,dd,2020-10-09 20:37:09,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,豆友199609026,199609026,[内容不可见],2020-10-09 21:36:41,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,炽冷,190964647,棒！（俺们上课就用的slack,2020-10-09 21:57:27,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,瑞秋,1358960,好棒,2020-10-09 22:35:42,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,每天幸福一点点,57796585,顶顶,2020-10-10 08:18:55,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,巴萨太子佩德里,178105712,dd,2020-10-10 08:57:37,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Pope,165943367,dd,2020-10-10 13:38:41,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,moonlightmile,moonlightmile,好！,2020-10-10 13:45:21,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,连夜注销,198506928,支持！,2020-10-10 16:25:06,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Wollstonecraft,154742699,link好像不能用了😢,2020-10-10 19:56:18,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,[已注销],179888321,[内容不可见],2020-10-10 20:42:20,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,rm -rf /,37781747,链接似乎失效了,2020-10-10 20:57:54,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Anon加重音,181503663,dd,2020-10-10 22:07:54,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Anon加重音,181503663,入群方式更新！,2020-10-10 22:23:53,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,momo,143459978,想加入！,2020-10-10 22:39:10,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,xsysmy,meinvllllll,支持！,2020-10-10 23:00:47,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,青虾黎💛💙,nancy9394,dd支持！,2020-10-10 23:04:54,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,我凭什么受啊我,205701480,dd,2020-10-10 23:21:32,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,纳瑞格奈,lealeyang,支持！,2020-10-11 00:28:57,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,瓶子。,75601819,想要加入！,2020-10-11 00:29:26,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,3amFri,mst147,支持！,2020-10-11 01:13:08,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Spectral,168551172,支持支持！,2020-10-11 01:19:30,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,✧,cynthialee0923,赞！,2020-10-11 02:08:57,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,布谷卟咕,141886156,报道～,2020-10-11 04:16:37,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,山口百莉,lillianjiang,dd!,2020-10-11 04:20:30,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,psycho,psychoink,支持！,2020-10-11 05:16:34,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,晚自习小王,152899241,支持支持,2020-10-11 06:15:20,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,牧牧之,Aileen.Q,支持支持！,2020-10-11 06:18:26,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,尖角云,57846572,dd！！,2020-10-11 06:19:36,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,beta,43520257,🆙支持！,2020-10-11 09:38:54,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,豆友188038626,188038626,[内容不可见],2020-10-11 10:40:08,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Fanta5ea,60506037,支持！,2020-10-11 10:44:56,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,L,131175797,来了！,2020-10-11 11:37:32,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Remedios🌙,Remedios86,支持,2020-10-11 12:30:40,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,积雨云,101423605,哇！支持！,2020-10-11 12:56:22,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,小羊小羊咩咩咩,160267305,来啦来啦,2020-10-11 13:23:06,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,VILLANELLE,209610632,支持！,2020-10-11 14:48:19,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,NAVIS.,151951007,支持,2020-10-11 15:36:47,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,silenceoct,silence_cy,dd求拉～,2020-10-11 16:00:33,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,momo,104645892,支持！！这就下载去！,2020-10-11 16:18:28,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Iktsuarpok,221208908,支持！！！,2020-10-11 17:52:54,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,prova,172956743,下载后神奇地变成了日文版，不知道能不能注册成功😂,2020-10-11 18:05:40,1
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,王菲打牌一直胡,135652572,[内容不可见],2020-10-11 19:39:09,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,S&E,68992474,顶一下！,2020-10-11 20:30:20,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,万柳同学停车处,174428971,支持！,2020-10-11 20:50:55,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,哦,68297162,支持～,2020-10-11 20:58:03,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Dong,76274057,想加入！,2020-10-11 21:31:23,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,南七一梦,190084343,支持！对我来说感觉slack更好用一点,2020-10-11 21:41:17,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,宇宙可爱翟晓雯,165301050,支持小组活动！,2020-10-11 22:21:59,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,newpizzgo,Serendipitously,science姐妹想加入,2020-10-11 23:06:11,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,lindsaym_,153236176,支持支持,2020-10-12 00:06:12,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,豆友215087313,215087313,支持！,2020-10-12 03:30:35,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,luna（第二轮,150242936,妈呀 上次组员（课程内的不是豆组）说喜欢用slack交流，我当时还一脸震惊，没想到！哈哈哈哈 果然slack真的深得大家喜爱,2020-10-12 03:39:34,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,momo,104040998,支持~,2020-10-12 04:37:47,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,蒋不清,144780837,真棒！,2020-10-12 09:47:51,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,名字也不用起了,54326832,business请求加入,2020-10-12 10:24:49,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,满杯红柚,168150615,支持！,2020-10-12 10:31:36,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,#鼓鼓#,136566077,我也来惹！,2020-10-12 10:34:50,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,多肉桃逃,185912135,支持！谢谢！,2020-10-12 10:38:16,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,已注销,184964923,支持！！,2020-10-12 10:41:19,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,丸子的表姐,xld0107,支持支持！👏,2020-10-12 10:41:26,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,个个子,71495746,支持🙋🏻‍♂️,2020-10-12 13:22:52,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,四川あさみ,miyaM,期待加入！！,2020-10-12 13:32:43,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,duck_1133,zfy6666,支持！,2020-10-12 15:00:09,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Pineapple,204595325,想加入,2020-10-12 15:16:33,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,云川,122840235,dd支持！,2020-10-12 16:00:19,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Morosoph,141530787,支持,2020-10-12 16:18:34,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Anastasia 💤,Cybersky2049,顶顶！支持！我来啦😆,2020-10-12 17:04:59,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,阿方索,57566819,支持！,2020-10-12 19:24:54,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,mayecho,159177473,支持,2020-10-12 19:33:11,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,帕格尼尼说不难,182705753,ddddd!,2020-10-12 19:48:23,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,匿名,206832970,很难不支持！,2020-10-12 19:52:17,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,塔挞獭,180189660,dd想进！,2020-10-12 20:18:35,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,活泼完整的草民,sophiebeibei,支持！,2020-10-12 21:18:11,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,活泼完整的草民,sophiebeibei,我明天再试试，国内163邮箱暂时还是登陆不上去，,2020-10-12 21:33:22,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,xixixi,158688673,dd,2020-10-12 21:56:05,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,HeyCharlie,mumuzhaozhao,支持！,2020-10-12 22:10:39,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,青青园中葵,125791154,支持！,2020-10-12 22:35:31,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,Mindkicker,157079090,我我我！！！,2020-10-12 23:09:49,0
小组活动｜🎉小组官方slack群建立啦!🎉,Anon加重音,王小美,1538212,dd支持！,2020-10-12 23:29:23,0
